run_id,livello,tbt,height_invio,height_conferma,epoca,nodo_publisher,indirizzo,miner_cluster,seq,esito,dettaglio_errore,txid
run3-tbt-5s/nazionale,nazionale,5,67,68,6,c5,17V2VF5b1CmigfPVqujRoCWaiNfGZHdigz6HU7,m3,1,ok,,ef23b6ce74181521c3120ac3b71cc3c24fbf778163a1b0a1860773061833e04e
run3-tbt-5s/nazionale,nazionale,5,67,68,6,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,1,ok,,8da5cf8037b22edeaf235b7f0eea29367c88d9398afb45e8757194e778d5634e
run3-tbt-5s/nazionale,nazionale,5,67,68,6,c4,1KJxpGjjCx4L4ui7yXDrVyjxijxMShNRXcS3XB,m2,1,ok,,4354e188092919ec482826051ab36655850b49af551bd68433428bbb598b8052
run3-tbt-5s/nazionale,nazionale,5,67,68,6,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,m2,1,ok,,67f705cb83477644c4b13a7eb5ed7ea578e2becd308f7e4ae2d21e663bcb8c51
run3-tbt-5s/nazionale,nazionale,5,67,68,6,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,1,ok,,e632eaaafa4504a64be93ac763bd507e0ba58bd4fb692fe8e2d2d8dbb5b4672e
run3-tbt-5s/nazionale,nazionale,5,68,70,6,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,2,ok,,a502a7d1c5306b4d1ee249e82344590be5710685b6cc6a9025249ae39ca5ee69
run3-tbt-5s/nazionale,nazionale,5,69,70,6,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,2,ok,,8c3fc66542eadaa30f9ae7361da865017e5721db67753370d95847c24077d4c5
run3-tbt-5s/nazionale,nazionale,5,70,71,6,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,m2,2,ok,,ef12ada97df12ccb48836b71f876dcea0046f07222c68a33968ba61713b7dbe8
run3-tbt-5s/nazionale,nazionale,5,70,71,6,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,3,ok,,5be5ab18e50d592642a0636a103c50c13537a8343722fa6185fa352b2da732e9
run3-tbt-5s/nazionale,nazionale,5,70,72,7,c4,1KJxpGjjCx4L4ui7yXDrVyjxijxMShNRXcS3XB,m2,2,ok,,e03c331f15a333a458100daa29ebf0537eecafbb30786d2665fedd316ff09b32
run3-tbt-5s/nazionale,nazionale,5,71,72,7,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,3,ok,,1d6e643ed0c1bf61259917eaf6368dfb2b8ef8990168e23418221956c8e7e47d
run3-tbt-5s/nazionale,nazionale,5,71,72,7,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,4,ok,,64d372e67e87ab6f604e2542b569cd77eb532688a8b23f4e25b32844eff11699
run3-tbt-5s/nazionale,nazionale,5,72,73,7,c5,17V2VF5b1CmigfPVqujRoCWaiNfGZHdigz6HU7,m3,2,ok,,16993102cf0e3d672a7a5063e5d4a9505614b07a8fc119f944e33df577e4c422
run3-tbt-5s/nazionale,nazionale,5,73,74,7,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,m2,3,ok,,9f13b31829f756551b0f9f4d1edf57db7dc8f37c29eb1d1594ca994d61916a1b
run3-tbt-5s/nazionale,nazionale,5,73,74,7,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,5,ok,,9b6e1867c8b58e62e8bcd463e0acb34b2fb94a0977b97a02c60280312dafe24f
run3-tbt-5s/nazionale,nazionale,5,74,75,7,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,4,ok,,a2b06b88f23b08d5bc3a63650d59826c50cceb22dc7aaa81ddc8ca9e662a5184
run3-tbt-5s/nazionale,nazionale,5,75,76,7,c4,1KJxpGjjCx4L4ui7yXDrVyjxijxMShNRXcS3XB,m2,3,ok,,0e1dc9a0100d8f48371ccf9dedcedad90cfd076da2110da75af67d3cd926ad4f
run3-tbt-5s/nazionale,nazionale,5,75,76,7,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,6,ok,,78a93d8f0d6f46d0fe35b93cf788fb807a631bf24c85aded92f2379011107a6c
run3-tbt-5s/nazionale,nazionale,5,77,78,7,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,m2,4,ok,,13e4065c64700526897dd36537344b842f04c5f8bd75ca0e47257e48921fbe4b
run3-tbt-5s/nazionale,nazionale,5,77,78,7,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,5,ok,,c816b100a60f935cc65bf3c65ae71bbc0cdd987269bcc890d1e3470627fa9540
run3-tbt-5s/nazionale,nazionale,5,77,78,7,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,7,ok,,aeb0049b384007f6ca8fff92e189a0dc6666d6719b257930b2a933bb461d52a4
run3-tbt-5s/nazionale,nazionale,5,77,78,7,c5,17V2VF5b1CmigfPVqujRoCWaiNfGZHdigz6HU7,m3,3,ok,,6f7fe18f2a5f30789a9f12439405bfb370bb73f6b17a8a9e2365d40825244d1f
run3-tbt-5s/nazionale,nazionale,5,78,79,7,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,8,ok,,b5ee817476df4bfff59b01fc556d550a5dd01e5468501e6c86a4f29bfc0d2d59
run3-tbt-5s/nazionale,nazionale,5,79,80,7,c4,1KJxpGjjCx4L4ui7yXDrVyjxijxMShNRXcS3XB,m2,4,ok,,0b4c020214a94a52959be6b34e979b45c98bef636accc6c989af19de42b563b2
run3-tbt-5s/nazionale,nazionale,5,79,80,7,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,6,ok,,1a850789ef8ccca07c409016123f9c97a410fa42ba97b74cf4e3fdfb3d14dfb1
run3-tbt-5s/nazionale,nazionale,5,80,81,7,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,m2,5,ok,,36ea9b7ddf55044c6dfb7f43c3a7776ac6724eafb2bfc3c14c2508d3c877be26
run3-tbt-5s/nazionale,nazionale,5,80,81,7,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,9,ok,,e322e5116ef35b01434232a1859288861b8b1470fe597108538d10f90f805c19
run3-tbt-5s/nazionale,nazionale,5,81,82,7,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,7,ok,,f8cd96ada18f58c794fce5147372225fa93913c4daa9fea75a0639af91601cf6
run3-tbt-5s/nazionale,nazionale,5,81,82,7,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,10,ok,,7399f4b1775e70d1f138bb26d4f191e2cde06bfeb9d2e217496aa493ab11b33a
run3-tbt-5s/nazionale,nazionale,5,82,83,7,c5,17V2VF5b1CmigfPVqujRoCWaiNfGZHdigz6HU7,m3,4,ok,,40cb99341c2f154abb5e4779e3cd96587071b46ec7629ce513c4efb0e71a79a7
run3-tbt-5s/nazionale,nazionale,5,83,84,8,c4,1KJxpGjjCx4L4ui7yXDrVyjxijxMShNRXcS3XB,m2,5,ok,,f4778b8e0a29f9db50e88cf5e9d96293785981a90ad5ff03b8854bbdf44384d1
run3-tbt-5s/nazionale,nazionale,5,83,84,8,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,m2,6,ok,,0821c600c73bcaae4c92893356f395296f391b411f9a0e71f6f0c1dfdcfcdf37
run3-tbt-5s/nazionale,nazionale,5,83,84,8,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,11,ok,,dada1d9b5cf6e3f75ac0ed8d5c384a3fef32279b069bd07fcddff9248af285ba
run3-tbt-5s/nazionale,nazionale,5,84,85,8,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,8,ok,,9ef3cf2be104f03b54a1cccbfa3556e58055eb808fced32ac7087c0f86fa1a1d
run3-tbt-5s/nazionale,nazionale,5,85,86,8,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,12,ok,,392edc34a7acee3c5207ef7e45436c6e529f642e8dcdc53ca8e938bb5695160b
run3-tbt-5s/nazionale,nazionale,5,86,87,8,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,m2,7,ok,,e818a9d63dd512e130ed106a8f9ecc06ad84cbed1a97b0f82c7d0e45d95c3ab7
run3-tbt-5s/nazionale,nazionale,5,86,87,8,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,9,ok,,d94cfc60a78e40a6123d5b1e69601a106244751eb3f51c38c8497304ad5d1411
run3-tbt-5s/nazionale,nazionale,5,86,87,8,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,13,ok,,6ce3fa964ddc23a8b9deb8744c6ba713006896d797086044b217c806124e402f
run3-tbt-5s/nazionale,nazionale,5,86,88,8,c5,17V2VF5b1CmigfPVqujRoCWaiNfGZHdigz6HU7,m3,5,ok,,85274d21682989f538e4f27ebde75044fdbae24d28919b1617744a6db2f4f726
run3-tbt-5s/nazionale,nazionale,5,86,88,8,c4,1KJxpGjjCx4L4ui7yXDrVyjxijxMShNRXcS3XB,m2,6,ok,,8450d970f8bdc2338491d145bdb4ae10e9a45edb7a07919b55ef1bb3c92c2812
run3-tbt-5s/nazionale,nazionale,5,87,88,8,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,14,ok,,d9d1c6fd089fb20b0e958705945f9b8168f5c55d427588e6d4d5a97848f9c008
run3-tbt-5s/nazionale,nazionale,5,88,89,8,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,10,ok,,5d5321d85d42b1a10797783070ce0a7cb5f02531d998e2e35db2bdb91596698d
run3-tbt-5s/nazionale,nazionale,5,88,89,8,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,m2,8,ok,,631a658e7c21d291ea1fc8760bee0bcb7c400fece7b853d5c812a7428565a3bf
run3-tbt-5s/nazionale,nazionale,5,88,89,8,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,15,ok,,42f0ac3322bf9a290f39baf33d59f49e809d204fe72e56f4cd5ff9845ccfa69e
run3-tbt-5s/nazionale,nazionale,5,90,92,8,c4,1KJxpGjjCx4L4ui7yXDrVyjxijxMShNRXcS3XB,m2,7,ok,,2cd0f479470308c4a2adccceb786d157510834a323cf699d192185b0c651628b
run3-tbt-5s/nazionale,nazionale,5,90,92,8,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,11,ok,,0cb67a4d30e13c66264aa1e0147c748633bc92c51a1bc6e010856e36f6b08b62
run3-tbt-5s/nazionale,nazionale,5,90,92,8,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,16,ok,,ee3698ea3a14f873b71322e337240ce7be2513435f8d3d57da174a366b5727af
run3-tbt-5s/nazionale,nazionale,5,91,92,8,c5,17V2VF5b1CmigfPVqujRoCWaiNfGZHdigz6HU7,m3,6,ok,,4ee84ec8660e2ee52cc5ef05a38132ac538cf917159be36bdba203b53b9e711a
run3-tbt-5s/nazionale,nazionale,5,92,93,8,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,m2,9,ok,,d361c29071e4c549acad24656b3503b84f901e5001cd0fed2bf4c58805448f1a
run3-tbt-5s/nazionale,nazionale,5,92,93,8,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,17,ok,,8f56692317d1f37b9c1ae97ea71a31b3b71cc23d22acaa357286c8b4d5e5be8a
run3-tbt-5s/nazionale,nazionale,5,92,93,8,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,12,ok,,723e294dcd62b1f9035fb5371148771d95fdde02c54c6308a24c55eebbb8d46b
run3-tbt-5s/nazionale,nazionale,5,94,95,8,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,18,ok,,a35c2bcdd37db5d0ed77ae1633f0436f8da8d5552369fafb2e00ebcb2cf2049a
run3-tbt-5s/nazionale,nazionale,5,94,95,8,c4,1KJxpGjjCx4L4ui7yXDrVyjxijxMShNRXcS3XB,m2,8,ok,,020a5cdf71df37f5d5a09ac68250c8bd9849976e0072128b63f9d005fd065d9c
run3-tbt-5s/nazionale,nazionale,5,95,96,9,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,m2,10,ok,,275017e95665789012e9d9f720277465ffc8be3599e925b66c499c3e4b9c33eb
run3-tbt-5s/nazionale,nazionale,5,95,96,9,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,13,ok,,f4e6d6f3ad186329e82f40d0c959aa071a270819ee32078c7153c1df67cdfbdd
run3-tbt-5s/nazionale,nazionale,5,95,96,9,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,19,ok,,53d044dce932d3fcfff5a85124dd4bb60e296416e7b804c40f900de1747907d7
run3-tbt-5s/nazionale,nazionale,5,96,97,9,c5,17V2VF5b1CmigfPVqujRoCWaiNfGZHdigz6HU7,m3,7,ok,,42f47a2c6bfef35c9ecc15f12073499a769476e9dd213643d59d1836836987c0
run3-tbt-5s/nazionale,nazionale,5,97,98,9,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,20,ok,,826564a8f01b5afef4e830f51ab0ab2745666014d5a1ba19b5fb504ccc544bf2
run3-tbt-5s/nazionale,nazionale,5,97,98,9,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,14,ok,,10ee094da0098ae843bbcce42a388920317ef05bc59fd1dac8fe3db97395ea79
run3-tbt-5s/nazionale,nazionale,5,98,99,9,c4,1KJxpGjjCx4L4ui7yXDrVyjxijxMShNRXcS3XB,m2,9,ok,,c90bb481d3ec4b00246fd0d74d0af39635581589dd075373c211fc11b26c80c0
run3-tbt-5s/nazionale,nazionale,5,98,99,9,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,m2,11,ok,,bb1da763bd842312094295b594a05a426139df4ece547f8ad5dcb2c52be9302c
run3-tbt-5s/nazionale,nazionale,5,98,99,9,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,21,ok,,3109c2e9fdce7aa2472e9ff509da2f19d690fea171896ba5c4afc3baeac2a5af
run3-tbt-5s/nazionale,nazionale,5,99,100,9,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,15,ok,,49b6199c51e8869f004fd477668e7f57e25f8b90295dddf9dd3158dd7548aae8
run3-tbt-5s/nazionale,nazionale,5,99,100,9,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,22,ok,,242bac63bbe7d61e3d140cd16df156b5f9f123c89115428fab08c96e9fe60231
run3-tbt-5s/nazionale,nazionale,5,100,102,9,c5,17V2VF5b1CmigfPVqujRoCWaiNfGZHdigz6HU7,m3,8,ok,,19ccd1d37c3da705f79ed95e44136e3d3398c831bf83aa4334b19b900ef8b7f9
run3-tbt-5s/nazionale,nazionale,5,101,102,9,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,m2,12,ok,,bd0057f9fae35cbb7daf15a139b79874c4a069c98ef6ac77bb29ce7eaf8a621b
run3-tbt-5s/nazionale,nazionale,5,101,102,9,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,23,ok,,a444c8826c53cc6d5be7212fdf62a68132ef40705f22bf19c24c9b863e0e9b11
run3-tbt-5s/nazionale,nazionale,5,101,102,9,c4,1KJxpGjjCx4L4ui7yXDrVyjxijxMShNRXcS3XB,m2,10,ok,,50f07f9ef9d2d75bca4d740fdfef520ff1670d3c3be17df095cc3c249f50e986
run3-tbt-5s/nazionale,nazionale,5,101,102,9,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,16,ok,,85e42a17560ba3c89818763f175151a8f3262fe21469ac2900b78af0f6f49d67
run3-tbt-5s/nazionale,nazionale,5,102,103,9,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,24,ok,,761aa877b46c4655e70a77208af0d4a55a0b5fb0e0f48257aa6066a3ba779439
run3-tbt-5s/nazionale,nazionale,5,103,105,9,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,m2,13,ok,,a670f2d0e5113519e6563faae7c933b301ef85d48d0dd7d618c9d08b5c871d86
run3-tbt-5s/nazionale,nazionale,5,103,105,9,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,17,ok,,bd4f173109d83a5845f5e6310cf3ac3e9a9174225d48133a0fd1ff15af9d2e36
run3-tbt-5s/nazionale,nazionale,5,103,105,9,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,25,ok,,f30613accf20122a604ce2bac8087c3945d59a72b345f953b071b5c8ab596df8
run3-tbt-5s/nazionale,nazionale,5,105,106,9,c5,17V2VF5b1CmigfPVqujRoCWaiNfGZHdigz6HU7,m3,9,ok,,06146156750d5c860c3d7a2a0142d55cdfa95c7c1e2b4b1c8b759ed2261bc685
run3-tbt-5s/nazionale,nazionale,5,105,106,9,c4,1KJxpGjjCx4L4ui7yXDrVyjxijxMShNRXcS3XB,m2,11,ok,,76862080666be54096f200adfe7a5095a10ddb61d134eee39030ecff10ff319b
run3-tbt-5s/nazionale,nazionale,5,105,106,9,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,26,ok,,ac139fed78a65c0c8f1b2e374643a9a1d07bda2b5b47aeb37d5ad8356ff5cc97
run3-tbt-5s/nazionale,nazionale,5,105,106,9,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,18,ok,,b32bcd52a1036d76e5e0449dc31b695fddbd077f9b7d931d975dafc3b043258d
run3-tbt-5s/nazionale,nazionale,5,106,107,9,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,m2,14,ok,,50e0eacc8331b3b666a2b9652e9dbdb141e4faa7e0bbc7c307338a812e271bc6
run3-tbt-5s/nazionale,nazionale,5,106,107,9,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,27,ok,,307c753af51f99dedf2b7118d98a8d8bd209f626edd27c40a38b48087fbff2d5
run3-tbt-5s/nazionale,nazionale,5,107,108,10,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,19,ok,,e19ec431fe2627cbefb59ca0ff1759d41f8464e10244bff1dc59b51f7bbe6f18
run3-tbt-5s/nazionale,nazionale,5,107,108,10,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,28,ok,,eff737702e7a71a904f4911b943320ef5038c4ca4b7e3c0bf9866184cf1bdda3
run3-tbt-5s/nazionale,nazionale,5,108,109,10,c4,1KJxpGjjCx4L4ui7yXDrVyjxijxMShNRXcS3XB,m2,12,ok,,acedb087b095fcc0c478718213f94c8c13d76d457e0197ef6b02b1e96b93ff7e
run3-tbt-5s/nazionale,nazionale,5,108,109,10,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,m2,15,ok,,9d6cc2113d808d2396099f82d4837d45f4bed5912d9c161afa45ed488acf46a6
run3-tbt-5s/nazionale,nazionale,5,108,109,10,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,29,ok,,3cb7328d231d6772e8419b97a17a3685a95d853351c9b52660d43d00e8a631a7
run3-tbt-5s/nazionale,nazionale,5,108,109,10,c5,17V2VF5b1CmigfPVqujRoCWaiNfGZHdigz6HU7,m3,10,ok,,e3125b1654cda5c471a0023f71de68b2cb561a61a543b9179e2d541485e23581
run3-tbt-5s/nazionale,nazionale,5,109,110,10,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,20,ok,,5a38830eead93ae1a60dd915a0c629d6694c10c95659098bff811fa1b8246abd
run3-tbt-5s/nazionale,nazionale,5,109,110,10,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,30,ok,,9338f0131e102648c2381428c6299fec9a6e06ae87396eb931b1376a706f7567
run3-tbt-5s/nazionale,nazionale,5,110,111,10,c4,1KJxpGjjCx4L4ui7yXDrVyjxijxMShNRXcS3XB,m2,13,ok,,3ea80030b9f6aaeaf1e9476b47c300682dd98876c1875edb5ece6d2cc58e1790
run3-tbt-5s/nazionale,nazionale,5,110,111,10,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,m2,16,ok,,524c30dfab7a9dee544cc51b005b661fc779744436fbdbc1131eff9237ca99a9
run3-tbt-5s/nazionale,nazionale,5,110,111,10,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,21,ok,,2afea6ee6d4d51a0a6b2e8b6113599bb079aef26e5b56e153e6a74b6d41b3406
run3-tbt-5s/nazionale,nazionale,5,110,111,10,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,31,ok,,29da7bd682608fb095e2632e1c8b85fab713ac6bea5029d7c50d2910566770c3
run3-tbt-5s/nazionale,nazionale,5,112,113,10,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,32,ok,,40b5a936a401b29c3348682985bf94b079dea92bcb86cb93c1e3a744675d618b
run3-tbt-5s/nazionale,nazionale,5,112,113,10,c5,17V2VF5b1CmigfPVqujRoCWaiNfGZHdigz6HU7,m3,11,ok,,8c7755c6031559078e41e08a7f503e33f4943fc4b89d881c01ab88566fe0f5d4
run3-tbt-5s/nazionale,nazionale,5,112,113,10,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,22,ok,,393e4d19cda1ea48f8d7c172c8541170dba9242d960c42c4c791991ae8f30116
run3-tbt-5s/nazionale,nazionale,5,113,114,10,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,m2,17,ok,,90aa51efd59dc859b6e9a8f447efc00cf5f98485f2013dbbea35a656b3252b34
run3-tbt-5s/nazionale,nazionale,5,113,114,10,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,33,ok,,fc4d2c814882a98449b4cf22277b956cbef08b01f1e5fad078859af034ab1cdb
run3-tbt-5s/nazionale,nazionale,5,114,115,10,c4,1KJxpGjjCx4L4ui7yXDrVyjxijxMShNRXcS3XB,m2,14,ok,,9f01fbb94fe0dbe36962ae94887e5140254805440611e1ed1a503f7b293c7080
run3-tbt-5s/nazionale,nazionale,5,115,116,10,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,23,ok,,e9cdc7ed356ad6f22a99e578828ee1e0d8d54a06394422c2ed935445d52e8ab9
run3-tbt-5s/nazionale,nazionale,5,115,116,10,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,34,ok,,c0f98a96f164ee0c3c9fe26048504149651c6a6f48b3075552617144f3e4941e
run3-tbt-5s/nazionale,nazionale,5,116,117,10,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,m2,18,ok,,5f48669aa49a167b780e66e044248565a0eddc5651a24cab78809d80a77a4f7f
run3-tbt-5s/nazionale,nazionale,5,116,117,10,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,35,ok,,cb8ddc04023d0c919a9f895f9563d8f86f62f24ef16f30352f9bcdc517452d0c
run3-tbt-5s/nazionale,nazionale,5,117,118,10,c5,17V2VF5b1CmigfPVqujRoCWaiNfGZHdigz6HU7,m3,12,ok,,9f3d4ab7d345daeb8f787a8f9bddd8e57ce86a0806b031350b061ab413f424c2
run3-tbt-5s/nazionale,nazionale,5,117,118,10,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,24,ok,,8041393557369e7b9586d8b88b85917d90a13c6ad4ddc5837d95f6c6af9428c2
run3-tbt-5s/nazionale,nazionale,5,118,119,10,c4,1KJxpGjjCx4L4ui7yXDrVyjxijxMShNRXcS3XB,m2,15,ok,,50a7e2498ac4aa3f37fa593f8bef1f21bf3fdf08ca4adc0f08f89d740675537a
run3-tbt-5s/nazionale,nazionale,5,118,119,10,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,36,ok,,0bd4577e8b948f03a5b3c728d1c2f392cc874fc22b072139c9cf3732bc09028a
run3-tbt-5s/nazionale,nazionale,5,119,120,11,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,m2,19,ok,,7d0751a196950d705e48fb0de279c4b79f33425bb1ba40a027b3fd38ea394bff
run3-tbt-5s/nazionale,nazionale,5,119,120,11,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,25,ok,,957ad3f28295c5577b6143f4484ea72c105338bca30c78face10e1270b33ce35
run3-tbt-5s/nazionale,nazionale,5,119,120,11,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,37,ok,,9adfa14f255f166a3006bfc1ad0ff8da1368c899f1182d7378e0a864fc87c74a
run3-tbt-5s/nazionale,nazionale,5,121,122,11,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,38,ok,,f992af5d194283258ad2948d180720fadc67c2fea27c0c9350afb5f1dee3ca0a
run3-tbt-5s/nazionale,nazionale,5,121,122,11,c5,17V2VF5b1CmigfPVqujRoCWaiNfGZHdigz6HU7,m3,13,ok,,648a650a18b16a24031c965a66fca84ee2bbf8adb5ee98f7c7df6bb24f07a7d2
run3-tbt-5s/nazionale,nazionale,5,121,122,11,c4,1KJxpGjjCx4L4ui7yXDrVyjxijxMShNRXcS3XB,m2,16,ok,,d783999013013a667e96c8edec8843e2d5635f83bf8e48288956ca8aeede589b
run3-tbt-5s/nazionale,nazionale,5,121,122,11,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,26,ok,,e75ca58b66c739089aa951cf6a35c101de0bfacc5f751d95d971b8475b7c20ce
run3-tbt-5s/nazionale,nazionale,5,122,123,11,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,m2,20,ok,,f21304ec05569a623494a61612973dbdef057fec0c330a4247073433c59e6da3
run3-tbt-5s/nazionale,nazionale,5,122,123,11,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,m1,39,ok,,1654caba926162a7dbacd4ec30051448d907f71e408e0c9a59e82c7748e5dad3
run3-tbt-5s/nazionale,nazionale,5,123,124,11,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,m1,27,ok,,9629a31da651c9f172373cba218a7cfdd3356ac7aab2eb63f3549b5acfac69b7
