send_height,kind,to_host,amount_gas
5,init,c1,100.0
5,init,c2,100.0
5,init,c3,100.0
5,init,c4,100.0
5,init,c5,100.0
5,init,m1,50.0
5,init,m2,50.0
5,init,m3,50.0
5,init,ca,50.0
23,refill,m1,100.0
25,refill,m1,100.0
25,refill,m2,100.0
37,refill,m1,100.0
50,refill,m1,100.0
60,refill,m1,100.0
60,refill,m2,100.0
74,refill,m1,100.0
74,refill,m3,100.0
84,refill,m1,100.0
84,refill,m2,100.0
97,refill,m1,100.0
108,refill,m1,100.0
121,refill,m1,100.0
121,refill,m2,100.0
132,refill,m1,100.0
144,refill,m1,100.0
144,refill,m2,100.0
157,refill,m1,100.0
169,refill,m1,100.0
