experiment_id,replication_id,area,target_block_time,dumpfunction,malus_enabled,weight_epoch_length,epoch,n_publications_logged,n_hosts_verification_ok,n_hosts_verification_failed,n_hosts_not_verified
run4-tbt-3s,1,nazionale,3,none,true,12,1,0,1,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,2,0,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,3,0,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,4,0,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,5,0,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,6,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,7,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,8,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,9,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,10,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,11,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,12,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,13,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,14,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,15,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,16,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,17,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,18,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,19,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,20,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,21,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,22,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,23,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,24,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,25,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,26,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,27,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,28,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,29,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,30,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,31,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,32,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,33,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,34,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,35,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,36,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,37,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,38,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,39,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,40,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,41,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,42,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,43,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,44,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,45,3,10,0,0
run4-tbt-3s,1,nazionale,3,none,true,12,46,3,0,0,0
