send_height,epoch_harness,miner_host,balance_before_gas,sent_gas,assumed_confirm_height
160,14,m2,49.6784,28.607,161
160,14,m1,49.6028,45.2227,161
160,14,m3,49.6028,9.5206,161
170,15,m3,40.0372,7.6074,171
170,15,m2,21.2528,11.5517,171
170,15,m1,104.4761,97.3523,171
184,16,m3,32.3086,6.0617,185
184,16,m1,107.2604,99.9974,185
184,16,m2,110.0281,64.8169,185
193,17,m2,45.3332,25.9999,194
192,17,m3,26.1259,4.8252,193
192,17,m1,107.0824,99.8283,193
205,18,m3,21.4229,3.8846,206
205,18,m2,119.4241,70.4545,206
206,18,m1,107.5781,100.2992,207
216,19,m3,117.4173,23.0835,217
216,19,m2,48.8192,28.0915,217
216,19,m1,108.3663,101.048,217
229,20,m3,94.2126,18.4425,230
229,20,m2,20.5771,11.1463,230
229,20,m1,108.2501,100.9376,230
243,21,m3,75.6193,14.7239,244
243,21,m2,109.9068,64.7441,244
243,21,m1,107.8607,100.5677,244
254,22,m3,60.8502,11.77,255
254,22,m2,45.0119,25.8071,255
254,22,m1,108.2054,100.8951,255
266,23,m3,48.9588,9.3918,267
266,23,m2,119.1596,70.2958,267
266,23,m1,108.1825,100.8734,267
278,24,m3,39.8268,7.5654,279
278,24,m2,49.1128,28.2677,279
278,24,m1,107.3493,100.0818,279
289,25,m3,32.14,6.028,290
289,25,m2,20.7237,11.2342,290
289,25,m1,108.1707,100.8622,290
301,26,m3,26.0668,4.8134,302
301,26,m2,109.2207,64.3324,302
301,26,m1,108.3279,101.0115,302
312,27,m3,21.103,3.8206,313
312,27,m2,44.9799,25.7879,313
312,27,m1,107.9794,100.6804,313
326,28,m3,117.1314,23.0263,327
326,28,m2,119.0412,70.2247,327
326,28,m1,108.5192,101.1932,327
338,29,m3,93.9837,18.3967,339
338,29,m2,48.6951,28.0171,339
338,29,m1,108.2854,100.9711,339
350,30,m3,75.66,14.732,351
350,30,m2,20.6888,11.2133,351
350,30,m1,107.8909,100.5964,351
362,31,m3,60.9654,11.7931,363
362,31,m2,109.8901,64.7341,363
362,31,m1,107.6045,100.3243,363
374,32,m3,49.0773,9.4155,375
374,32,m2,45.0052,25.8031,375
374,32,m1,108.131,100.8244,375
385,33,m3,39.4814,7.4963,386
385,33,m2,119.8527,70.7116,386
385,33,m1,107.5412,100.2641,386
398,34,m3,32.1641,6.0328,399
398,34,m2,48.9901,28.1941,399
398,34,m1,107.8541,100.5614,399
410,35,m3,25.9511,4.7902,411
410,35,m2,20.6748,11.2049,411
410,35,m1,108.3663,101.048,411
422,36,m3,20.9805,3.7961,423
422,36,m2,109.1719,64.3031,423
422,36,m1,108.4469,101.1246,423
433,37,m3,117.0338,23.0068,434
433,37,m2,44.7474,25.6484,434
434,37,m1,108.2441,100.9319,435
445,38,m3,93.9058,18.3812,446
445,38,m2,119.2562,70.3537,446
446,38,m1,107.926,100.6297,447
457,39,m3,75.4794,14.6959,458
458,39,m2,48.7811,28.0687,459
458,39,m1,108.1793,100.8703,459
469,40,m3,60.6621,11.7324,470
469,40,m2,20.5614,11.1368,470
469,40,m1,108.1298,100.8233,470
481,41,m3,48.7789,9.3558,482
481,41,m2,109.6442,64.5865,482
481,41,m1,108.0557,100.7529,482
493,42,m3,39.3017,7.4603,494
492,42,m2,45.2757,25.9654,493
492,42,m1,107.8112,100.5206,493
507,43,m3,32.7986,6.1597,508
507,43,m2,119.1593,70.2956,508
507,43,m1,107.3032,100.038,508
518,44,m3,26.5937,4.9187,519
518,44,m2,48.7985,28.0791,519
518,44,m1,108.2056,100.8953,519
528,45,m3,21.524,3.9048,529
528,45,m2,21.6654,11.7992,529
528,45,m1,107.0081,99.7577,529
540,46,m1,107.86,100.567,541
543,46,m3,117.5244,23.1049,544
543,46,m2,110.2714,64.9628,544
553,47,m3,94.3183,18.4637,554
553,47,m2,45.8976,26.3386,554
554,47,m1,107.5232,100.247,555
566,48,m3,75.7332,14.7466,567
566,48,m2,119.5138,70.5083,567
566,48,m1,108.1492,100.8417,567
577,49,m3,60.8062,11.7612,578
577,49,m2,48.8547,28.1128,578
577,49,m1,108.3003,100.9853,578
589,50,m3,48.9998,9.4,590
589,50,m2,20.5911,11.1547,590
589,50,m1,108.116,100.8102,590
600,51,m3,39.4784,7.4957,601
600,51,m2,109.106,64.2636,601
600,51,m1,108.5198,101.1938,601
615,52,m3,32.0557,6.0111,616
615,52,m2,44.8036,25.6822,616
615,52,m1,108.1768,100.868,616
625,53,m3,25.8674,4.7735,626
625,53,m2,18.9706,10.1824,626
625,53,m1,8.1412,5.8341,626
636,54,m3,21.0489,3.8098,637
636,54,m2,108.519,63.9114,637
636,54,m1,103.3843,96.3151,637
648,55,m2,44.9128,25.7477,649
651,55,m3,117.2861,23.0572,652
651,55,m1,107.3332,100.0665,652
660,56,m2,19.5235,10.5141,661
660,56,m1,7.7665,5.4782,661
663,56,m3,94.0781,18.4156,664
675,57,m3,75.5413,14.7083,676
675,57,m2,109.1494,64.2896,676
675,57,m1,103.1449,96.0877,676
686,58,m3,60.7878,11.7576,687
686,58,m2,44.8704,25.7222,687
686,58,m1,107.7536,100.4659,687
698,59,m3,48.8792,9.3758,699
698,59,m2,119.478,70.4868,699
698,59,m1,107.8159,100.5251,699
