5,init,c1,100
5,init,c2,100
5,init,c3,100
5,init,c4,100
5,init,c5,100
5,init,m1,50
5,init,m2,50
5,init,m3,50
5,init,ca,50
23,refill,m1,100
24,refill,m1,100
24,refill,m2,100
37,refill,m1,100
49,refill,m1,100
49,refill,m2,100
62,refill,m1,100
62,refill,m3,100
72,refill,m1,100
84,refill,m2,100
85,refill,m1,100
97,refill,m1,100
108,refill,m1,100
113,refill,m2,100
121,refill,m1,100
132,refill,m1,100
144,refill,m1,100
144,refill,m2,100
157,refill,m1,100
169,refill,m1,100
169,refill,m2,100
169,refill,m3,100
